2003,Mitsubishi,Eclipse Spyder GTS,Purple,H8TR
1993,Honda,Civic,Black,231FEP
2010,Ford,Mustang GT,Red,2F2F
1970,Dodge,Challenger R/T,Orange,D2X437
1998,Toyota,Supra MK4,Black,23DFF3
2007,Honda,Accord,Red,8D1JKP
2016,Honda,Pilot,Silver,231TD1
1968,Dodge,Charger R/T,Black,F4M1LY
1982,Ford,F-150,Black,FDF332
1995,Chevrolet,Camaro,Blue,123DSD
2001,Chevrolet,Malibu,Gray,DF33WE
2005,GMC,Sierra 1500,Blue,W0RK32
2009,Toyota,Corolla,Turqoise,323FF7
2012,GMC,Yukon,Green,2DFD11
2020,Tesla,Model 3,Blue,23SDDF